artist,track,track_url,tags
Bad Bunny,DtMF,https://www.last.fm/music/Bad+Bunny/_/DtMF,"latin, vocal, Reggaeton, melodic, Moderate, loud, chill, latin pop, spanish, danceable"
Bad Bunny,Tití Me Preguntó,https://www.last.fm/music/Bad+Bunny/_/Tit%C3%AD+Me+Pregunt%C3%B3,"Reggaeton, latin, fire, dembow, 2022 SOTY, WSUM 91.7 FM Madison, Pop Court with manda m"
Bad Bunny,Me Porto Bonito,https://www.last.fm/music/Bad+Bunny/_/Me+Porto+Bonito,"bad bunny, Reggaeton, fire, latin, Chencho Corleone"
Bad Bunny,NUEVAYoL,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL,"dembow, Reggaeton, loud, instrumental, Moderate, salsa, spoken, latin, groovy, House"
Bad Bunny,BAILE INoLVIDABLE,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE,"salsa, instrumental, Reggaeton, loud, spoken, latin pop, groovy, Moderate, salsa romantica, reydelpop"
twenty one pilots,Stressed Out,https://www.last.fm/music/twenty+one+pilots/_/Stressed+Out,"alternative, indie, alt-pop, hip hop, pop rap, rap, pop, indie pop, alternative pop, rap rock"
twenty one pilots,Ride,https://www.last.fm/music/twenty+one+pilots/_/Ride,"rock, reggae, alternative, vocal harmonies, prominent percussion, acoustic rhythm piano, use of a string ensemble, a dub production, major key tonality, a reggae feel"
twenty one pilots,Heathens,https://www.last.fm/music/twenty+one+pilots/_/Heathens,"alternative, rock, electronic, pop, love at first listen, 2016, indie, trip hop, best of 2016, electropop"
twenty one pilots,Tear in My Heart,https://www.last.fm/music/twenty+one+pilots/_/Tear+in+My+Heart,"indie, alternative, rock, 2015, indie pop, indie rock, american, 2010s, 10s, Twenty One Pilots"
twenty one pilots,Heavydirtysoul,https://www.last.fm/music/twenty+one+pilots/_/Heavydirtysoul,"indie, rock, alternative, rap, breakbeat, indie rock, hip hop, indietronica, Hip-Hop, Drum and bass"
The Strokes,Reptilia,https://www.last.fm/music/The+Strokes/_/Reptilia,"indie rock, rock, indie, alternative, alternative rock, Garage Rock, The Strokes, 00s, post-punk, 2003"
The Strokes,Someday,https://www.last.fm/music/The+Strokes/_/Someday,"indie rock, indie, rock, alternative, alternative rock, Garage Rock, The Strokes, 00s, 2001, american"
The Strokes,Last Nite,https://www.last.fm/music/The+Strokes/_/Last+Nite,"indie rock, rock, indie, alternative, alternative rock, Garage Rock, 00s, The Strokes, 2001, garage rock revival"
The Strokes,You Only Live Once,https://www.last.fm/music/The+Strokes/_/You+Only+Live+Once,"indie rock, rock, alternative, indie, The Strokes, alternative rock, Garage Rock, 00s, american, post-punk"
The Strokes,The Adults Are Talking,https://www.last.fm/music/The+Strokes/_/The+Adults+Are+Talking,"indie rock, rock, indie, alternative rock, Garage Rock, new wave, love at first listen, 2020, Post-punk revival, EDM"
Red Hot Chili Peppers,Californication,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Californication,"rock, alternative rock, alternative, Red Hot Chili Peppers, funk, Funk Rock, 90s, California, american, Mellow"
Red Hot Chili Peppers,Under the Bridge,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Under+the+Bridge,"rock, alternative, alternative rock, 90s, Red Hot Chili Peppers, Funk Rock, funk, american, Ballad, Mellow"
Red Hot Chili Peppers,Scar Tissue,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Scar+Tissue,"rock, alternative rock, alternative, funk, Red Hot Chili Peppers, Funk Rock, 90s, 1999, american, chill"
